,base,clouds: all,cod,coord: lat,coord: lon,dt,id,main: grnd_level,main: humidity,main: pressure,main: sea_level,main: temp,main: temp_max,main: temp_min,name,rain: 3h,sys: country,sys: id,sys: message,sys: sunrise,sys: sunset,sys: type,visibility,weather: description,weather: icon,weather: id,weather: main,wind: deg,wind: gust,wind: speed
73,stations,0,200,18.08,-15.98,1533443725,2377450,1024.66,100,1024.66,1024.88,77.89,77.89,77.89,Nouakchott,1.53,MR,7410,0.0049,1533451408,1533497768,1,10000,clear sky,01n,800,Clear,290.001,12.9,19.86
74,stations,88,200,61.68,96.39,1533444244,1510689,956.0,71,956.0,1015.03,65.38,65.38,65.38,Baykit,1.53,RU,7410,0.0035,1533417182,1533477956,1,10000,overcast clouds,04d,804,Clouds,175.001,12.9,11.48
75,stations,88,200,68.05,39.51,1533444245,556268,992.88,79,992.88,1017.95,53.41,53.41,53.41,Ostrovnoy,1.53,RU,7410,0.003,1533426962,1533495362,1,10000,overcast clouds,04d,804,Clouds,152.501,12.9,6.33
76,stations,0,200,-25.24,130.99,1533443400,6355222,992.88,27,1013.0,1017.95,62.6,62.6,62.6,Yulara,1.53,AU,8160,0.0038,1533419482,1533459181,1,10000,clear sky,01d,800,Clear,270.0,15.9,24.16
77,stations,90,200,20.71,-105.21,1533442380,4004293,992.88,100,1011.0,1017.95,80.6,80.6,80.6,Ixtapa,1.53,MX,4011,0.0036,1533472607,1533519393,1,9656,thunderstorm with light rain,11n,200,Thunderstorm,40.0,15.9,13.87
78,stations,20,200,-21.36,55.77,1533441600,935215,992.88,52,1024.0,1017.95,68.83,69.8,68.0,Saint-Philippe,1.53,RE,6792,0.0032,1533437194,1533477569,1,10000,few clouds,02d,801,Clouds,60.0,15.9,4.7
79,stations,92,200,65.54,13.39,1533442800,3133983,992.88,93,1008.0,1017.95,57.2,57.2,57.2,Trofors,1.375,NO,5278,0.0038,1533435148,1533499778,1,10000,light rain,10d,500,Rain,220.0,15.9,10.29
80,stations,40,200,8.13,77.3,1533443400,1263942,992.88,88,1012.0,1017.95,80.6,80.6,80.6,Manavalakurichi,1.375,IN,7837,0.003,1533429799,1533474613,1,5000,haze,50d,721,Haze,350.0,15.9,11.41
81,stations,20,200,-20.34,57.76,1533441600,1106677,992.88,69,1025.0,1017.95,73.4,73.4,73.4,Bambous Virieux,1.375,MU,6729,0.003,1533436632,1533477175,1,10000,few clouds,02d,801,Clouds,160.0,15.9,9.17
82,stations,32,200,65.37,58.04,1533444247,485215,1006.82,79,1006.82,1021.76,54.04,54.04,54.04,Synya,1.375,RU,6729,0.0036,1533424512,1533488986,1,10000,scattered clouds,03d,802,Clouds,259.001,15.9,3.76
83,stations,0,200,29.13,15.95,1533444247,2216645,979.67,55,979.67,1026.18,77.08,77.08,77.08,Hun,1.375,LY,6729,0.0042,1533442745,1533491095,1,10000,clear sky,01d,800,Clear,114.501,15.9,9.13
